Frame ID,Media Owner,Format,Address,Town,Postcode,Latitude,Longitude,Status
2000286460,Alight Media,D48,Hendon Grange Hotel,Sunderland,SR2 9QU,54.885461,-1.3649625,Live
2000286461,Alight Media,D48,"Heckmondwike Tavern, High St. Heckmondwike",Heckmondwike,WF16 0AR,53.70726972,-1.67190051,Live
2000286462,Alight Media,D48,Regent Road at Shell garage,Salford,M5 4TS,53.476016,-2.2675598,Live
2000286463,Alight Media,D48,807 Foleshill Road,Coventry,CV6 5HS,52.434423,-1.4955566,Live
2000286464,Alight Media,D48,Land Adj 2 Albert Street,Birmingham,B33 9BD,52.48751204,-1.8119339,Live
2000286465,Alight Media,D48,21 Orchard Street,Burton Upon Trent,DE14 3SJ,52.80087,-1.6365081,Live
2000286466,Alight Media,D48,Steels Social Club,Sunderland,SR4 6LQ,54.90421193,-1.41276508,Live
2000286467,Alight Media,D48,"Dainton Self Store, Coity Road",Bridgend,CF31 1NS,51.515971,-3.5781371,Live
2000286468,Alight Media,D48,"Wynsors Shoes, Brigg Road",Scunthorpe,DN15 6TP,53.5917644,-0.64040592,Live
2000286469,Alight Media,D48,95 Bolton Street,Chorley Adlington,PR7 3AG,53.6479961,-2.62826617,Live
2000286470,Alight Media,D48,"California Social Club, 191-199 Foxhall Road",Ipswich,IP3 8LB,52.052869,1.1798319,Live
2000286471,Alight Media,D48,Clarence Rd,Hartlepool,TS24 8DA,54.69111282,-1.21196117,Live
2000286472,Alight Media,D48,Waterfront UTC,Gillingham (Kent),ME4 4FQ,51.397458,0.54847194,Live
2000286473,Alight Media,D48,"Mon Timber, Usk Way",Newport (Newport),NP20 2NP,51.565719,-2.9852199,Live
2000286474,Alight Media,D48,26 Chaul End Lane,Luton,LU4 8HD,51.889219,-0.4580744,Live
2000286475,Alight Media,D48,69-71 Edgar St,Hereford,HR4 9JP,52.05928278,-2.71955152,Live
2000286476,Alight Media,D48,"Wynsors Shoes, Brigg Road (Panel 2)",Scunthorpe,DN15 6TP,53.59175644,-0.64040592,Live
2000287171,Alight Media,D48,357 Torquay Road,Paignton,TQ3 2BT,50.44766222,-3.55807501,Live
2000288406,Alight Media,D48,"875 Manchester Road, Bradford",Bradford,BD5 8LT,53.76852825,-1.76223896,Live
2000288588,Alight Media,D48,"139 Bolton Road, Kearsley, Bolton",Farnworth,BL4 9BX,53.54319511,-2.38509585,Live
2000303323,Alight Media,D48,"21 Old Taunton Road, Bridgewater",Bridgwater,TA6 3NX,51.126145,-3.001182,Live
2000303722,Alight Media,D48,"78-124 High Street, Tipton, Dudley",Dudley,DY4 9JF,52.54168,-2.066272,Live
2000304805,Alight Media,D48,"117 Wilton Road (A36), Sailsbury",Salisbury,SP2 7HY,51.074076,-1.815976,Live
2000304807,Alight Media,D48,"Pontefract Road, Leeds",Leeds,LS10 1EP,53.774054,-1.512345,Live
2000305141,Alight Media,D48,"Land at Nottingham Road, Melton Mowbray",Melton Mowbray,LE13 0UL,52.768933,-0.891867,Live
2000306128,Alight Media,D48,"2a and 2b Bridge Road, Weston-super-Mare",Weston Super Mare,BS23 3PD,51.343076,-2.967509,Live
2000306129,Alight Media,D48,"Windle Labour Club, 15 Dentons Green Lane, Denton's Green, St Helens",St Helens,WA10 2QF,53.457511,-2.747939,Live
2000306930,Alight Media,D48,"Vale Road, Tonbridge",Tonbridge,TN9 1XX,51.19347,0.287728,Live
1235483130,City Outdoor Media,D96,Shoreditch High Street,Whitechapel,E1 6HP,51.52469717,-0.07743167,Live
1235483133,City Outdoor Media,DM6,"Leeds Central, Yorkshire post tower Wellington St A58M",Leeds,LS1 1RF,53.79692794,-1.5602407,Live
1235483137,City Outdoor Media,DM6,The Deansgate Digital Tower Opp Hilton Hotel,Manchester,M3 4LY,53.4752854,-2.25149644,Live
1235483138,City Outdoor Media,DM6,"The Angel Tower Adj Coop HQ, Miller St",Manchester,M4 4DY,53.48735101,-2.23868901,Live
1235483150,City Outdoor Media,DM6,The Meadowhall Towers Outbound,Sheffield,S9 2FY,53.40741492,-1.4128448,Live
2000113077,City Outdoor Media,DM6,The Old street Digtal Canvas,London City,EC1V 1JB,51.5262915,-0.08765204,Live
2000134084,City Outdoor Media,DM6,London Bridge Quarter,Southwark,SE1 9SE,51.50531282,-0.08914507,Live
2000256544,City Outdoor Media,DM6,The Meadowhall Towers (inbound),Sheffield,S9 2FY,53.40782735,-1.41256291,Live
2000256747,City Outdoor Media,DM6,Regent Road Tower Outbound,Salford,M5 4QH,53.47849168,-2.28148266,Live
2000256965,City Outdoor Media,DM6,Regent Road Towers Inbound,Salford,M5 4QH,53.47849168,-2.28148266,Live
1234841459,Clear Channel Outdoor,DM6,"M6 Digital Tower, Bescot Crescent, Walsall",Walsall,WS1 4SD,52.56307982,-1.98757589,Live
1234841460,Clear Channel Outdoor,DM6,"M6 Digital Tower, Bescot Crescent, Walsall",Walsall,WS1 4SD,52.56307982,-1.98757589,Live
1234841461,Clear Channel Outdoor,DM6,"M6 Digital Tower, Bescot Crescent, Walsall",Walsall,WS1 4SD,52.56307982,-1.98757589,Live
1234841462,Clear Channel Outdoor,DM6,"M6 Digital Tower, Bescot Crescent, Walsall",Walsall,WS1 4SD,52.56324604,-1.98751384,Live
1234841463,Clear Channel Outdoor,DM6,"M6 Digital Tower, Bescot Crescent, Walsall",Walsall,WS1 4SD,52.56307982,-1.98757589,Live
1234841464,Clear Channel Outdoor,DM6,"M6 Digital Tower, Bescot Crescent, Walsall",Walsall,WS1 4SD,52.56307982,-1.98757589,Live
1234841465,Clear Channel Outdoor,DM6,"M6 Digital Tower, Bescot Crescent, Walsall",Walsall,WS1 4SD,52.56307982,-1.98757589,Live
1234841466,Clear Channel Outdoor,DM6,"M6 Digital Tower, Bescot Crescent, Walsall",Walsall,WS1 4SD,52.56325943,-1.98755142,Live
1234843131,Clear Channel Outdoor,DM6,Chiswick Tower (Outbound) Chiswick Roundabout Jct,Chiswick,W4 5QJ,51.4912663,-0.2819441,Live
1234843132,Clear Channel Outdoor,DM6,Chiswick Tower (Outbound) Chiswick Roundabout Jct,Chiswick,W4 5QJ,51.4914584,-0.2816659,Live
